City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Bambous Virieux,MU,-20.3428,57.7575,68.25,83,75,11.5,light rain
227,Vila Velha,BR,-20.3297,-40.2925,76.95,78,20,18.01,few clouds
228,Porto Santo,PT,33.072,-16.3415,71.98,64,75,6.91,broken clouds
229,Kidal,ML,18.4411,1.4078,93.58,27,70,9.4,broken clouds
230,Chodavaram,IN,17.8333,82.95,80.44,84,99,7.56,overcast clouds
231,Semey,KZ,50.4111,80.2275,62.92,47,42,10.0,scattered clouds
232,Arona,ES,28.0996,-16.681,72.91,75,20,6.91,few clouds
233,Mombasa,KE,-4.0547,39.6636,75.2,83,96,18.57,light rain
234,Fortuna,US,40.5982,-124.1573,64.92,78,100,1.99,overcast clouds
235,Namibe,AO,-15.1961,12.1522,63.61,89,24,0.45,few clouds
236,Oussouye,SN,12.485,-16.5469,80.69,84,100,8.28,overcast clouds
237,Kitaibaraki,JP,36.7833,140.75,71.15,97,100,6.29,overcast clouds
238,Flinders,AU,-34.5833,150.8552,53.19,67,71,13.0,broken clouds
239,Sorong,ID,-0.8833,131.25,77.65,90,100,10.07,overcast clouds
240,Naze,JP,28.3667,129.4833,77.92,88,100,9.66,overcast clouds
241,Tuatapere,NZ,-46.1333,167.6833,43.88,89,100,5.88,overcast clouds
242,Beringovskiy,RU,63.05,179.3167,50.67,89,100,7.11,overcast clouds
243,Nhulunbuy,AU,-12.2333,136.7667,70.41,56,69,14.97,broken clouds
244,Baruun-Urt,MN,46.6806,113.2792,59.43,66,0,4.59,clear sky
245,Necochea,AR,-38.5473,-58.7368,56.52,46,72,10.33,broken clouds
246,Fairview,US,40.8126,-73.999,92.73,37,0,9.22,clear sky
247,Coos Bay,US,43.3665,-124.2179,72.32,78,0,19.57,clear sky
248,Puerto Ayacucho,VE,5.6639,-67.6236,83.66,77,77,3.51,broken clouds
249,Kabale,UG,-1.2486,29.9899,57.67,78,72,3.09,broken clouds
250,Mansa,IN,29.9833,75.3833,92.41,54,61,3.18,broken clouds
251,Wanganui,NZ,-39.9333,175.05,51.6,92,45,1.99,scattered clouds
252,Pevek,RU,69.7008,170.3133,35.6,92,100,2.35,overcast clouds
253,Luganville,VU,-15.5333,167.1667,74.34,85,17,5.48,few clouds
254,Kyra,RU,49.5776,111.9753,54.39,72,1,4.36,clear sky
255,Inhambane,MZ,-23.865,35.3833,60.78,94,0,0.0,clear sky
256,Kurilsk,RU,45.2333,147.8833,54.05,94,58,6.53,broken clouds
257,Arlit,NE,18.7369,7.3853,100.38,13,96,14.2,overcast clouds
258,Severo-Kurilsk,RU,50.6789,156.125,53.2,97,99,2.04,overcast clouds
259,Atar,MR,20.5169,-13.0499,105.55,17,61,12.08,broken clouds
260,Qaqortoq,GL,60.7167,-46.0333,45.57,78,100,7.63,overcast clouds
261,Mecca,SA,21.4267,39.8261,91.06,34,100,3.44,light rain
262,Aasiaat,GL,68.7098,-52.8699,38.5,95,100,3.96,overcast clouds
263,Tessalit,ML,20.1986,1.0114,102.83,12,23,7.16,few clouds
264,Bendigo,AU,-36.7667,144.2833,40.64,55,8,4.61,clear sky
265,Melo,UY,-32.3667,-54.1833,55.33,65,0,7.52,clear sky
266,Kulhudhuffushi,MV,6.6221,73.07,81.81,77,100,16.51,overcast clouds
267,Biak,ID,-0.9131,122.8766,74.66,90,97,5.48,overcast clouds
268,Yaan,NG,7.3833,8.5667,74.37,91,72,5.12,broken clouds
269,Lebu,CL,-37.6167,-73.65,46.13,81,100,2.75,overcast clouds
270,Sisimiut,GL,66.9395,-53.6735,45.48,84,65,6.31,broken clouds
271,Chernyshevskiy,RU,63.0128,112.4714,45.36,80,100,4.38,overcast clouds
272,Ereymentau,KZ,51.6199,73.1033,65.1,41,41,2.04,scattered clouds
273,Kangasala,FI,61.4638,24.076,65.32,100,100,11.21,light rain
274,Hami,CN,42.8,93.45,79.9,26,75,16.51,broken clouds
275,Aras,ES,42.5617,-2.356,88.21,17,0,2.3,clear sky
276,Mamburao,PH,13.25,120.6667,77.47,84,100,3.58,overcast clouds
277,Tabou,CI,4.423,-7.3528,76.17,80,100,11.01,overcast clouds
278,Kaitangata,NZ,-46.2817,169.8464,43.63,92,100,9.8,overcast clouds
279,Kuragino,RU,53.8975,92.6725,52.43,84,99,4.52,overcast clouds
280,Palu,ID,-0.8917,119.8707,75.6,96,100,2.28,overcast clouds
281,Poltavka,RU,54.3663,71.7632,63.3,75,16,4.92,few clouds
282,Bathsheba,BB,13.2167,-59.5167,88.41,76,40,20.71,scattered clouds
283,Beira,MZ,-19.8436,34.8389,69.89,78,75,3.44,broken clouds
284,Watsa,CD,3.0372,29.5355,67.78,87,100,1.63,light rain
285,Sturgeon Bay,US,44.8342,-87.377,73.36,46,0,12.66,clear sky
286,Maralal,KE,1.0968,36.698,61.18,39,79,6.8,broken clouds
287,Morehead,US,37.2711,-87.1764,85.86,52,40,4.61,scattered clouds
